"rule","threshold","TP","TN","FP","FN","accuracy","sensitivity","specificity","precision","F1","balanced_accuracy"
"Umbral_Youden",0.111025452598292,3189,22787,5164,508,0.820778564206269,0.862591290235326,0.815248112768774,0.381779001556327,0.529294605809129,0.83891970150205
"Umbral_0.5",0.5,1361,27227,724,2336,0.903311425682508,0.36813632675142,0.974097527816536,0.652757793764988,0.470771359391214,0.671116927283978
